region,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted,department_Sales & Marketing,department_Operations,department_Technology,department_Analytics,department_R&D,department_Procurement,department_Finance,department_HR,department_Legal,gender_f,gender_m,recruitment_channel_sourcing,recruitment_channel_other,recruitment_channel_referred
6108,1,2.0,-0.10386503264987922,0.0,-0.5031610424067183,0,0,-0.12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
785,1,1.0,-0.6773332748087814,-2.0,-0.22546450205890253,0,0,1.04,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1234,2,0.0,-0.32170495079413947,1.0,-0.8640375898284877,1,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6108,1,0.0,-0.4361344591222221,1.0,-0.8640375898284877,0,0,-0.08,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1701,2,0.0,0.7326680751211947,-2.0,0.7404176885398176,0,0,-0.2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
11497,2,0.0,0.8140056789418636,1.0,0.0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2617,2,0.0,1.334317748130311,0.0,0.18962995711230912,0,0,-0.04,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
849,1,0.0,0.5638655408777778,2.0,0.6249180356100185,0,0,1.08,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,1.402508900185992,0.0,1.457116252439476,1,0,0.96,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2592,2,0.0,0.29369360975341463,-1.0,0.4968389575932817,0,0,0.32,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
11497,1,0.0,-1.2185453935828654,0.0,-1.3781931785392174,0,0,-0.44,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1841,1,0.0,0.0,-2.0,0.18962995711230912,0,0,1.28,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2617,1,3.0,0.29369360975341463,0.0,0.0,0,0,0.72,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,0.0,1.0,-0.22546450205890253,1,0,-0.32,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
11497,1,1.0,0.4761892549619305,1.0,0.8455612735181011,0,0,0.12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1841,2,0.0,0.10076411628689122,0.0,-0.8640375898284877,0,0,0.28,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
4624,1,1.0,0.5638655408777778,1.0,0.9420323782685116,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6108,2,0.0,0.386174661211858,-2.0,-0.22546450205890253,0,0,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1575,1,1.0,0.10076411628689122,0.0,0.4968389575932817,1,0,0.08,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1575,2,0.0,0.29369360975341463,-1.0,0.7404176885398176,0,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
11497,1,0.0,1.1210670179448217,0.0,1.5701460960156168,0,0,-0.4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
11497,1,0.0,0.10076411628689122,0.0,0.4968389575932817,0,0,-0.36,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,0.6493219337680565,1.0,0.7404176885398176,0,0,-0.04,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,0.8934292780479539,0.0,1.2636059757570188,0,0,-0.44,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
4624,1,0.0,-0.10386503264987922,0.0,0.0,1,1,-0.12,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2160,1,0.0,-0.32170495079413947,0.0,-1.3781931785392174,0,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
11497,1,0.0,1.1210670179448217,2.0,0.0,0,0,-0.28,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
11497,2,2.0,1.6622791367189058,0.0,1.0311362414600584,0,0,-0.28,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
4624,2,0.0,1.0468805761713502,1.0,1.1139050641197703,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
864,1,0.0,0.8934292780479539,0.0,0.9420323782685116,0,0,-0.32,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4624,1,0.0,-1.0748919172120752,0.0,-0.5031610424067183,0,0,-0.64,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
804,1,0.0,0.0,2.0,0.18962995711230912,0,0,-0.04,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2617,1,0.0,0.19860711839430803,2.0,0.3531596733902925,0,0,-0.2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1575,2,0.0,0.8934292780479539,0.0,0.0,0,0,0.08,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4624,1,0.0,-0.21102791336250767,2.0,0.18962995711230912,0,0,1.04,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
498,1,1.0,-0.10386503264987922,1.0,0.18962995711230912,0,0,-0.16,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4624,1,0.0,-0.8047199860877119,1.0,-0.8640375898284877,0,0,-0.44,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6108,1,0.0,-0.6773332748087814,0.0,-1.3781931785392174,0,0,0.64,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
11497,2,0.0,1.785032563504061,-1.0,0.9420323782685116,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
372,2,0.0,-0.6773332748087814,0.0,-1.3781931785392174,0,0,1.12,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
403,1,0.0,0.8140056789418636,-2.0,-0.22546450205890253,0,0,-0.32,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
4624,1,0.0,0.0,-2.0,0.18962995711230912,0,0,1.08,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
269,1,1.0,-0.10386503264987922,1.0,0.18962995711230912,1,0,-0.48,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
804,1,0.0,-0.6773332748087814,0.0,0.0,0,0,0.24,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4624,2,0.0,1.469349643252381,0.0,0.6249180356100185,0,0,-0.16,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4624,2,0.0,0.386174661211858,2.0,0.3531596733902925,1,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1147,2,0.0,0.6493219337680565,2.0,0.18962995711230912,1,0,1.04,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
6108,1,0.0,-1.0748919172120752,0.0,-1.3781931785392174,1,0,-0.04,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1701,2,0.0,1.1210670179448217,2.0,0.3531596733902925,1,0,-0.36,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1841,1,0.0,-0.32170495079413947,0.0,-0.22546450205890253,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
864,1,0.0,0.10076411628689122,1.0,0.7404176885398176,0,0,-0.52,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,0.0,0.0,0.4968389575932817,0,0,-0.28,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1701,2,0.0,0.8934292780479539,1.0,0.3531596733902925,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1701,1,0.0,0.29369360975341463,2.0,-0.22546450205890253,0,0,-0.52,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
11497,2,0.0,0.5638655408777778,1.0,0.8455612735181011,0,0,-0.08,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2160,1,0.0,0.386174661211858,-2.0,0.7404176885398176,0,0,-0.36,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1575,1,0.0,-0.32170495079413947,0.0,0.0,0,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
507,1,0.0,-0.4361344591222221,0.0,0.18962995711230912,0,0,0.68,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1410,1,0.0,0.29369360975341463,0.0,0.4968389575932817,0,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2160,1,1.0,0.0,-2.0,-0.5031610424067183,1,0,0.56,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
4624,2,0.0,0.8140056789418636,2.0,0.8455612735181011,1,0,0.8,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
975,1,0.0,-0.937103511341695,2.0,-0.5031610424067183,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
6108,2,0.0,0.29369360975341463,-2.0,-0.22546450205890253,0,0,0.44,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
11497,1,1.0,0.0,-1.0,0.4968389575932817,0,0,0.84,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
6108,2,0.0,-0.21102791336250767,1.0,0.0,1,0,-0.48,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
2592,1,1.0,-0.4361344591222221,0.0,0.18962995711230912,0,0,0.64,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2617,1,0.0,0.6493219337680565,0.0,0.9420323782685116,0,0,-0.08,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
804,1,0.0,0.4761892549619305,0.0,0.7404176885398176,0,0,0.04,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
11497,1,0.0,1.5991866974510578,0.0,0.18962995711230912,0,0,0.04,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
785,2,1.0,0.19860711839430803,0.0,0.0,1,0,0.96,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4624,1,0.0,0.19860711839430803,1.0,0.4968389575932817,0,0,-0.32,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
644,2,0.0,0.5638655408777778,1.0,0.9420323782685116,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1701,1,0.0,-0.10386503264987922,1.0,-0.22546450205890253,0,0,0.04,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
11497,0,0.0,-0.8047199860877119,2.0,-0.8640375898284877,0,0,0.04,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
785,1,0.0,-0.32170495079413947,0.0,-1.3781931785392174,0,0,-0.56,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4624,1,0.0,-0.32170495079413947,2.0,-0.5031610424067183,1,0,0.28,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2592,2,2.0,0.29369360975341463,0.0,0.6249180356100185,0,0,-0.64,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
11497,2,0.0,0.4761892549619305,-2.0,-0.8640375898284877,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1575,1,0.0,-0.4361344591222221,0.0,0.0,0,0,-0.36,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
11497,0,0.0,-0.937103511341695,0.0,-1.3781931785392174,1,0,0.4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2160,2,0.0,0.8140056789418636,0.0,0.3531596733902925,0,0,0.84,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1147,1,1.0,-0.21102791336250767,0.0,-1.3781931785392174,0,0,0.96,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2592,2,0.0,-0.10386503264987922,-1.0,0.6249180356100185,0,0,0.52,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1234,2,0.0,0.19860711839430803,1.0,0.18962995711230912,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2160,1,0.0,-0.32170495079413947,1.0,-0.5031610424067183,0,0,0.04,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
498,1,0.0,-0.4361344591222221,0.0,-1.3781931785392174,0,0,-0.48,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
4624,2,0.0,0.29369360975341463,-1.0,0.7404176885398176,0,0,-0.52,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
4624,1,0.0,0.386174661211858,0.0,0.4968389575932817,0,0,0.76,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1147,2,0.0,0.4761892549619305,0.0,-0.8640375898284877,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
4624,2,3.0,0.10076411628689122,1.0,0.7404176885398176,0,0,-0.32,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
6108,0,0.0,-1.2185453935828654,0.0,-1.3781931785392174,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2617,1,1.0,0.10076411628689122,-1.0,-0.22546450205890253,0,0,-0.52,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
4624,2,0.0,-0.10386503264987922,1.0,0.0,0,0,-0.32,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
11497,1,1.0,0.29369360975341463,-2.0,0.4968389575932817,0,0,-0.48,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
11497,2,0.0,0.19860711839430803,0.0,0.7404176885398176,1,0,0.12,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
11497,1,0.0,0.9710268845621959,2.0,0.3531596733902925,0,0,-0.24,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1147,1,3.0,-0.10386503264987922,-1.0,-0.5031610424067183,1,0,0.16,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
4624,2,0.0,0.29369360975341463,-2.0,-0.5031610424067183,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2160,1,1.0,0.0,-2.0,0.0,0,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
403,2,0.0,0.8140056789418636,-1.0,0.3531596733902925,0,0,0.84,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
676,1,0.0,-0.4361344591222221,0.0,0.3531596733902925,0,0,0.2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
11497,2,0.0,0.19860711839430803,1.0,0.18962995711230912,1,0,0.24,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
11497,2,0.0,0.8934292780479539,1.0,-0.22546450205890253,1,0,0.04,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
292,1,0.0,-0.4361344591222221,2.0,-0.5031610424067183,0,0,0.76,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
6108,1,0.0,-0.21102791336250767,1.0,-0.22546450205890253,1,0,0.92,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1410,1,0.0,-0.937103511341695,-1.0,-0.5031610424067183,0,0,-0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
6108,1,1.0,0.10076411628689122,2.0,0.0,1,0,0.72,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1410,0,0.0,-1.0748919172120752,0.0,-1.3781931785392174,1,0,-0.44,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1575,1,3.0,-0.8047199860877119,0.0,-0.5031610424067183,0,0,0.96,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
11497,2,1.0,0.386174661211858,0.0,-0.5031610424067183,0,0,-0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1291,1,1.0,-0.21102791336250767,2.0,-0.22546450205890253,1,0,-0.36,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2617,1,1.0,0.19860711839430803,1.0,0.6249180356100185,0,0,0.4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2592,2,0.0,1.6622791367189058,1.0,1.457116252439476,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
861,1,1.0,0.0,-2.0,0.3531596733902925,0,0,-0.28,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
6108,1,0.0,-0.32170495079413947,1.0,-0.22546450205890253,0,0,1.04,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1701,2,0.0,1.402508900185992,0.0,0.7404176885398176,0,0,-0.44,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
975,1,0.0,-0.6773332748087814,0.0,-0.5031610424067183,0,0,0.84,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2592,1,1.0,-0.10386503264987922,1.0,-0.22546450205890253,0,0,0.08,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
4624,1,0.0,-0.6773332748087814,0.0,-0.22546450205890253,0,0,-0.48,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2160,2,0.0,0.5638655408777778,1.0,-0.22546450205890253,0,0,-0.56,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1234,2,0.0,-0.21102791336250767,0.0,0.18962995711230912,1,0,1.04,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
4624,2,0.0,0.29369360975341463,1.0,-0.8640375898284877,1,0,0.04,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1410,1,0.0,-0.4361344591222221,1.0,-0.5031610424067183,0,0,0.48,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
759,1,0.0,0.0,0.0,0.7404176885398176,0,0,-0.32,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,1.402508900185992,0.0,-0.22546450205890253,1,0,-0.04,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
644,2,0.0,0.6493219337680565,-1.0,0.0,0,0,-0.24,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
11497,1,0.0,0.0,0.0,0.18962995711230912,0,0,-0.08,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
