region,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted,department_Sales & Marketing,department_Operations,department_Technology,department_Analytics,department_R&D,department_Procurement,department_Finance,department_HR,department_Legal,gender_f,gender_m,recruitment_channel_sourcing,recruitment_channel_other,recruitment_channel_referred
6108,1,2.842557977380578,-0.3267482581917094,-0.25791065240825967,-0.6604885553164084,0,0,-0.4983697014587207,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
785,1,1.2124572314625837,-1.1529461827416347,-1.9035828730049957,-0.27017936497577555,0,0,1.6824467658332134,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1234,2,-0.41764351445541076,-0.6405910746262473,0.5649254578901084,-1.1677092533513727,1,0,-1.099974244159944,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
6108,1,-0.41764351445541076,-0.8054501118625828,0.5649254578901084,-1.1677092533513727,0,0,-0.42316913362106784,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1701,2,-0.41764351445541076,0.8784482403203253,-1.9035828730049957,1.0873913678278766,0,0,-0.6487708371340265,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
11497,2,-0.41764351445541076,0.9956316421622707,0.5649254578901084,0.04671643480243857,1,0,-0.272767997945762,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2617,2,-0.41764351445541076,1.7452472617882604,-0.25791065240825967,0.31324591670426977,0,0,-0.3479685657834149,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
849,1,-0.41764351445541076,0.6352537733945794,1.3877615681884763,0.9250538177698514,0,0,1.7576473336708665,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
11497,1,-0.41764351445541076,1.843490519495042,-0.25791065240825967,2.094728498652777,1,0,1.5320456301579077,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2592,2,-0.41764351445541076,0.24601602253627883,-1.0807467627066276,0.7450355821170985,0,0,0.3288365447554612,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
11497,1,-0.41764351445541076,-1.9326725850077187,-0.25791065240825967,-1.890367343680638,0,0,-1.099974244159944,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
1841,1,-0.41764351445541076,-0.1771095021106664,-1.9035828730049957,0.31324591670426977,0,0,2.133650172859131,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2617,1,4.472658723298572,0.24601602253627883,-0.25791065240825967,0.04671643480243857,0,0,1.0808422231319903,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
11497,1,-0.41764351445541076,-0.1771095021106664,0.5649254578901084,-0.27017936497577555,1,0,-0.8743725406469852,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
